Simulation,NumberOfGenes,DEgenes,Upregulated,TopCounts/DE,Correct/TopCounts,Correct/DE
1,11572,1274,0.473229211,0.218954485,0.967741935,0.211891438
2,9937,2039,0.590538188,0.253979172,0.982625483,0.249566407
3,11461,3037,0.626681092,0.269929262,0.97804878,0.264003986
4,11897,1581,0.523300695,0.25045843,0.97979798,0.245398664
5,11667,712,0.572917539,0.206281859,0.986394558,0.203475303
6,9196,1790,0.490782004,0.272016198,0.987679671,0.268664869
7,8565,779,0.626975601,0.214164641,0.982035928,0.210317372
8,9176,2551,0.638236343,0.287651114,0.98773842,0.284124057
9,9026,2026,0.550753373,0.292555668,0.981450253,0.287128834
10,8119,2284,0.502098031,0.314753176,0.990264256,0.311688819
11,8604,2094,0.600738716,0.25975945,0.985294118,0.255939458
12,11610,2291,0.594467406,0.261453588,0.976627713,0.25534282
13,9578,2821,0.569371004,0.30654328,0.978034682,0.29980996
14,9712,1734,0.644604485,0.259402454,0.986666667,0.255943754
15,11889,1012,0.566285619,0.185642331,0.973404255,0.180705035
16,8407,1116,0.625476765,0.255217493,0.978947368,0.249844493
17,10819,2825,0.550900533,0.263991056,0.986595174,0.260452302
18,8390,1208,0.638193066,0.24585115,0.97979798,0.24088446
19,9014,1107,0.63506472,0.237437038,0.977186312,0.232020224
20,12302,1386,0.537798856,0.224322853,0.987138264,0.221437672
21,8120,2122,0.616166106,0.26569215,0.978723404,0.260039125
22,8205,648,0.512138663,0.222135349,0.972222222,0.215964923
23,11516,2315,0.516851842,0.262563744,0.993421053,0.260836351
24,8519,1246,0.562909964,0.271099753,0.973372781,0.263881121
25,9409,905,0.58461322,0.241807169,0.96803653,0.234078173
26,12419,2684,0.51371234,0.262981268,0.97592068,0.256648858
27,8080,1739,0.540749167,0.299489071,0.992322457,0.297189731
28,8796,570,0.62227417,0.197972901,0.955752212,0.189213038
29,8663,1639,0.450311555,0.272113393,0.988789238,0.269062794
30,9298,1529,0.489125155,0.247793618,0.98944591,0.245178382
31,9123,1661,0.466864358,0.258813303,0.986046512,0.255201954
32,10811,1154,0.4885284,0.210473147,0.991769547,0.208740857
33,11859,2083,0.579880179,0.262073689,0.983516484,0.257753793
34,8490,464,0.459371871,0.215271726,0.96,0.206660857
35,11867,2953,0.50152846,0.270570939,0.978723404,0.26481411
36,10218,1063,0.605741148,0.241641541,0.980544747,0.236940344
37,9697,1045,0.638405658,0.210462248,0.959090909,0.201852428
38,9845,1135,0.569310821,0.226298711,0.988326848,0.223657091
39,10683,2798,0.640663842,0.273393346,0.980392157,0.268032692
40,9078,1693,0.615209711,0.259289794,0.981776765,0.254564695
41,10098,1366,0.647743079,0.219459539,0.98,0.215070348
42,8606,1991,0.458736776,0.277224534,0.96557971,0.267682385
43,11790,954,0.471322372,0.258839803,0.963562753,0.249408393
44,10964,3139,0.595266825,0.283152024,0.983127109,0.278374431
45,9763,503,0.529786642,0.156887077,0.949367089,0.148943427
46,8068,2121,0.507896512,0.291736958,0.980613893,0.286081314
47,10612,2960,0.64229483,0.274981037,0.974201474,0.267886932
48,10901,2116,0.560079632,0.281122097,0.991596639,0.278759727
49,8038,1103,0.526851322,0.230224061,0.988188976,0.22750488
50,9614,1199,0.546146525,0.24007109,0.979166667,0.235069609
51,12446,3279,0.627037393,0.282345407,0.98488121,0.278076686
52,11013,906,0.61507532,0.2238942,0.975369458,0.218379565
53,10430,566,0.590154628,0.173066468,0.969387755,0.167768515
54,8344,584,0.616227685,0.210578606,0.951219512,0.200306478
55,12177,2487,0.591416162,0.252050159,0.972886762,0.245216263
56,9866,2340,0.545483741,0.269569556,0.980982567,0.264443035
57,8361,2047,0.528452727,0.282736012,0.982728843,0.277852834
58,12340,1039,0.542527608,0.21258386,0.972850679,0.206812353
59,12087,1314,0.60826745,0.23658173,0.974276527,0.230496026
60,12244,1551,0.509295676,0.224240358,0.982758621,0.220374144
61,8882,807,0.571641651,0.219187324,0.966101695,0.211757245
62,11015,2746,0.605442104,0.262909992,0.977839335,0.257083732
63,8172,1502,0.557523092,0.221667553,0.987987988,0.21900488
64,9086,478,0.480972407,0.207048488,0.929292929,0.192408696
65,8255,983,0.533144986,0.234928327,0.961038961,0.225775275
66,10045,2933,0.468009927,0.272061803,0.986215539,0.268311578
67,12457,2785,0.463586359,0.256004598,0.985974755,0.25241407
68,12005,1620,0.594478659,0.23696794,0.96875,0.229562692
69,11184,1351,0.541815804,0.229370315,0.987096774,0.226410698
70,11278,2326,0.458059321,0.276847134,0.97826087,0.270828718
71,8731,1160,0.62422839,0.21547015,0.992,0.213746389
72,8412,2506,0.624088179,0.268915045,0.979228487,0.263329272
73,9450,1388,0.518704787,0.259275394,0.966666667,0.250632881
74,9094,1995,0.573184481,0.265581148,0.977358491,0.25956799
75,9307,1623,0.575262448,0.254942638,0.983091787,0.250632014
76,8815,2221,0.618373107,0.262471481,0.981132075,0.257519189
77,11105,2590,0.499493052,0.267889461,0.974063401,0.26094132
78,11186,2940,0.637983498,0.280533135,0.986666667,0.276792694
79,10003,2533,0.609526382,0.263626951,0.986526946,0.260075091
80,11513,2453,0.459167634,0.278831483,0.980994152,0.273532054
81,8801,2309,0.452154124,0.308355762,0.981741573,0.302725671
82,8987,2278,0.484332532,0.283930693,0.98763524,0.280419958
83,11170,1505,0.634178166,0.204650442,0.974025974,0.199334846
84,9717,1282,0.451633244,0.237110866,0.976973684,0.231651077
85,9997,1084,0.642049594,0.24898689,0.977777778,0.243453848
86,10223,2643,0.602854355,0.282253355,0.983914209,0.277713087
87,12416,2840,0.516299857,0.271075374,0.987012987,0.267554915
88,10746,1331,0.53725251,0.253766093,0.982248521,0.249261369
89,11019,883,0.549859133,0.20825012,0.945652174,0.196932178
90,9355,2546,0.493196747,0.283566607,0.984764543,0.27924634
91,11778,3014,0.459813263,0.272012435,0.987804878,0.26869521
92,9996,2972,0.554329062,0.295017697,0.989737742,0.291990149
93,8172,551,0.558143178,0.210188223,0.965517241,0.202940353
94,10590,840,0.474987689,0.214081821,0.966666667,0.206945761
95,10299,1801,0.50633497,0.263668172,0.985263158,0.259782535
96,8140,2192,0.631303057,0.275059611,0.983416252,0.270498091
97,12345,1515,0.478348994,0.240165591,0.96978022,0.23290784
98,10956,2062,0.639139705,0.261793766,0.981481481,0.256945733
99,11383,1710,0.484565978,0.268412694,0.967320261,0.259641037
100,8683,2601,0.503007273,0.272137212,0.990112994,0.26944659
101,8740,2423,0.478931372,0.279784823,0.979351032,0.274007555
102,11688,922,0.470247989,0.201718054,0.962365591,0.194126514
103,8979,1498,0.520676674,0.256939011,0.976623377,0.250932644
104,10931,2263,0.478153341,0.267255498,0.976859504,0.261071074
105,10451,888,0.514848353,0.200254688,0.97752809,0.195754582
106,12391,2446,0.489609441,0.2611984,0.987480438,0.25792831
107,9309,2289,0.641154359,0.25772334,0.986440678,0.254228786
108,11558,3339,0.477204194,0.297642818,0.984909457,0.293151226
109,12123,3350,0.456759052,0.273127566,0.980327869,0.267754565
110,10632,576,0.461600964,0.221873455,0.984375,0.218406682
111,9246,616,0.467589448,0.199659649,0.943089431,0.188296905
112,10377,2346,0.609469293,0.254006526,0.981543624,0.249318486
113,10497,2173,0.51109935,0.274159621,0.984899329,0.270019627
114,10516,1010,0.611056319,0.218677807,0.977375566,0.213730346
115,9127,1665,0.532343123,0.279866929,0.980686695,0.274461774
116,9024,1402,0.641141947,0.239492967,0.991071429,0.237354637
117,12106,1964,0.552351597,0.257016811,0.984158416,0.252945258
118,11107,3313,0.596349212,0.295723354,0.987755102,0.292102252
119,12378,1549,0.557913479,0.229736747,0.963483146,0.221347483
120,9504,1389,0.634981537,0.258337378,0.983286908,0.254019762
121,9865,1295,0.46143228,0.230742999,0.986622074,0.227656137
122,11964,1448,0.469391389,0.213358969,0.980582524,0.209216077
123,9071,1803,0.488498244,0.225147817,0.987684729,0.222375061
124,10394,2574,0.474421585,0.294433904,0.986807388,0.290549552
125,10307,519,0.642790368,0.178965786,0.989247312,0.177041423
126,8429,934,0.58192944,0.251401687,0.974468085,0.244982921
127,9809,2694,0.483805208,0.305795828,0.984223301,0.300971379
128,12228,3184,0.640895678,0.267565828,0.978873239,0.261913029
129,12006,1945,0.615148255,0.24832297,0.971014493,0.241125203
130,11653,2200,0.568563946,0.269483498,0.981450253,0.264484647
131,11180,2469,0.566320335,0.258351164,0.985893417,0.254706712
132,11732,1360,0.539377949,0.232937225,0.965299685,0.22485423
133,10255,1751,0.644361985,0.247735277,0.974654378,0.241456273
134,8322,1952,0.646872948,0.289853402,0.989399293,0.286780751
135,11414,1692,0.616803626,0.251164867,0.969411765,0.243482177
136,10340,1019,0.564642366,0.205963427,0.966666667,0.199097979
137,10277,2997,0.616510066,0.270514311,0.982737361,0.26584452
138,11787,2389,0.642100238,0.257790823,0.983766234,0.253605907
139,12165,1165,0.619579307,0.205145223,0.958158996,0.196561741
140,8575,550,0.577067197,0.176158865,0.989690722,0.174342794
141,11455,3378,0.606587034,0.266101512,0.989988877,0.263437537
142,10215,2229,0.486577239,0.262814716,0.979522184,0.257432845
143,8314,866,0.576323149,0.235564079,0.965686275,0.227480998
144,10265,2095,0.514475849,0.259138895,0.981583794,0.254366539
145,10939,1861,0.451030668,0.231477071,0.976798144,0.226106374
146,8598,2471,0.545511341,0.30344195,0.993333333,0.301419004
147,8404,664,0.634972577,0.249895188,0.969879518,0.242368224
148,9941,1371,0.477271731,0.24064351,0.975757576,0.234809728
149,11096,3296,0.544703812,0.299387129,0.98378926,0.294533842
150,12227,1528,0.574658362,0.223085543,0.967741935,0.215889235
151,11165,1865,0.649870246,0.257285535,0.983333333,0.252997443
152,9078,594,0.548410689,0.210138943,0.96,0.201733386
153,8587,535,0.49174496,0.195921414,0.980952381,0.192189577
154,12093,2594,0.539232715,0.282111426,0.990437158,0.279413639
155,12396,3640,0.484205987,0.277444034,0.983168317,0.272774184
156,8923,2406,0.599712088,0.306303482,0.983717775,0.30131618
157,8121,595,0.575191234,0.213166865,0.960629921,0.204774469
158,12158,1893,0.593614687,0.252397138,0.970711297,0.245004753
159,12494,2270,0.641203617,0.252380792,0.980802792,0.247535785
160,8009,718,0.627061928,0.222653108,0.975,0.217086781
161,10279,1717,0.467249943,0.23345263,0.975062344,0.227630869
162,11395,1665,0.55849723,0.248506456,0.985507246,0.244904913
163,10956,1593,0.507385243,0.247317264,0.984771574,0.243551011
164,9707,1973,0.525211007,0.277170356,0.978062157,0.271089836
165,11118,1992,0.58303941,0.243455999,0.991752577,0.241448115
166,12019,1369,0.543082736,0.225634888,0.990291262,0.223444258
167,10271,711,0.567113881,0.203789765,0.965517241,0.196762532
168,10981,1762,0.531049681,0.25646435,0.975663717,0.250222961
169,11174,2842,0.507709126,0.268472452,0.981651376,0.263546352
170,9232,2664,0.528848508,0.297235103,0.988636364,0.293857431
171,9927,1340,0.503051016,0.232762584,0.993589744,0.231270516
172,11503,1392,0.517157375,0.234756666,0.960244648,0.225423832
173,11851,3230,0.507782733,0.2987457,0.989637306,0.29564989
174,9475,488,0.49814198,0.210946438,0.980582524,0.20685039
175,11454,2798,0.644425491,0.286533637,0.983790524,0.281889077
176,11331,2960,0.509234525,0.281067748,0.987980769,0.27768953
177,9670,782,0.641230612,0.222247267,0.965517241,0.214583568
178,9815,1361,0.622696299,0.234219302,0.981191223,0.229813923
179,8940,2314,0.649102707,0.276944775,0.990639626,0.274352468
180,10548,1921,0.451793133,0.260200287,0.98,0.254996281
181,12325,924,0.633901866,0.203457558,0.984042553,0.200210895
182,11210,3325,0.533114059,0.2817742,0.986125934,0.277864846
183,10426,1110,0.543561701,0.218864993,0.975308642,0.213460919
184,8564,2330,0.559501748,0.293074846,0.979502196,0.287067455
185,11727,1948,0.591245254,0.264807412,0.972868217,0.257622714
186,9028,521,0.54840868,0.17651331,0.945652174,0.166920195
187,10713,1613,0.508374987,0.247285272,0.974937343,0.241087646
188,10576,1516,0.500270064,0.250580685,0.976315789,0.244645879
189,9182,2727,0.630485249,0.274291149,0.990641711,0.271724253
190,8272,641,0.646894362,0.241534326,0.967741935,0.233742896
191,8879,2257,0.616603869,0.282142018,0.989010989,0.279041556
192,8549,2259,0.552095543,0.291209898,0.990881459,0.288554488
193,9863,666,0.51160465,0.210110222,0.978571429,0.20560786
194,10195,1998,0.523724532,0.293149387,0.979522184,0.287146328
195,9500,1476,0.464437196,0.266174229,0.977099237,0.260078636
196,8980,2385,0.614875987,0.278749967,0.983458647,0.274139065
197,9022,1465,0.489308628,0.26067494,0.976439791,0.254533384
198,11833,700,0.45334493,0.221245962,0.980645161,0.216963782
199,10665,1048,0.604389586,0.208918849,0.97716895,0.204149012
200,11252,2766,0.514496872,0.271462142,0.978695073,0.265678661
201,9066,1603,0.568701975,0.242590432,0.98714653,0.239472303
202,10821,2204,0.617470178,0.263106645,0.989655172,0.260384852
203,8468,1072,0.474472933,0.258272537,0.967509025,0.249881011
204,10755,2847,0.531008628,0.293955911,0.98088411,0.288336682
205,8112,741,0.620676116,0.221072141,0.969512195,0.214332136
206,9210,2302,0.640285618,0.293151819,0.986666667,0.289243128
207,9998,2645,0.595325031,0.276292533,0.987688098,0.272890847
208,11848,1458,0.493311511,0.231786495,0.982248521,0.227671941
209,9840,2313,0.475558572,0.286971568,0.989457831,0.283946266
210,9893,2380,0.488841947,0.268447253,0.982785603,0.263826095
211,9693,982,0.480839974,0.206606791,0.97044335,0.200500186
212,9963,1245,0.563048682,0.258608807,0.97826087,0.252986876
213,8882,1443,0.497218549,0.212677977,0.977198697,0.207828642
214,12091,2874,0.565245652,0.268201555,0.984435798,0.264027212
215,10771,738,0.469290566,0.233061505,0.994186047,0.231706497
216,8094,2403,0.601086361,0.297024956,0.983193277,0.29203294
217,11394,3133,0.530303304,0.278283846,0.986238532,0.274454252
218,12297,1294,0.642111855,0.215522249,0.982078853,0.211659843
219,11334,2568,0.552929418,0.264371895,0.986745214,0.260867702
220,8582,1884,0.464606034,0.276501791,0.982725528,0.271725368
221,8286,1664,0.532912229,0.293796656,0.979550102,0.287788545
222,11555,2131,0.469974476,0.270251128,0.977430556,0.264151711
223,10637,588,0.532508661,0.231066887,0.955882353,0.22087276
224,12275,3209,0.561181789,0.27729342,0.986516854,0.273554633
225,11388,1252,0.573520799,0.232419562,0.969072165,0.225231328
226,10760,1710,0.606376928,0.229773929,0.979643766,0.225096597
227,9847,913,0.511995164,0.217738103,0.979899497,0.213361458
228,11684,2182,0.547521023,0.256125901,0.974955277,0.249711299
229,11822,2766,0.53483617,0.273996201,0.984168865,0.26965853
230,11675,1516,0.467478546,0.232730244,0.97733711,0.227455904
231,10233,1398,0.498186712,0.257465567,0.966666667,0.248883382
232,10275,1565,0.492605464,0.238910125,0.973262032,0.232522154
233,11660,605,0.628755503,0.206446873,0.96,0.198188998
234,11812,1917,0.493030419,0.250338432,0.975,0.244079971
235,11843,1837,0.576436887,0.244840154,0.973333333,0.238311083
236,10618,2996,0.544719943,0.302366842,0.98785872,0.298695721
237,10762,2811,0.570012981,0.283491378,0.982434128,0.278511605
238,11689,1693,0.518936745,0.23091928,0.982097187,0.226785175
239,9167,1707,0.581187217,0.26177095,0.986577181,0.258257246
240,9121,1025,0.495750112,0.224287599,0.991304348,0.222337272
241,12122,1098,0.517840142,0.198421219,0.986238532,0.195690651
242,10616,1515,0.52441258,0.232929848,0.983002833,0.2289707
243,11376,2895,0.610678212,0.276657185,0.981273408,0.271476339
244,8092,1090,0.557928311,0.26227089,0.979020979,0.256768703
245,9952,1759,0.594907974,0.252410638,0.97972973,0.247294206
246,8772,2520,0.484789914,0.298748634,0.982735724,0.293590955
247,10821,1765,0.471364748,0.241255182,0.974178404,0.235025588
248,11640,1604,0.627931103,0.241147009,0.974160207,0.23491582
249,9362,2752,0.478962953,0.298654208,0.981751825,0.293204313
250,12063,3433,0.486385162,0.295642028,0.981280788,0.290107842
251,12319,1668,0.539640198,0.245732692,0.965853659,0.23734182
252,8550,1444,0.54918955,0.245699659,0.985915493,0.2422391
253,10405,2612,0.500408203,0.283973198,0.982479784,0.278997926
254,10456,3009,0.647457197,0.288083675,0.987312572,0.284428634
255,10072,523,0.583664176,0.215766257,0.96460177,0.208128513
256,11330,2717,0.518273808,0.276708668,0.98537234,0.272661068
257,10268,2732,0.574422255,0.29748691,0.982779828,0.292364134
258,8990,1930,0.546972325,0.266252435,0.992217899,0.264180432
259,9877,572,0.617358094,0.202498284,0.956896552,0.19376991
260,11551,2863,0.568512914,0.267546246,0.980417755,0.262307089
261,9075,889,0.537867669,0.240644612,0.990654206,0.238395597
262,8783,1108,0.552277529,0.247116626,0.97810219,0.241705313
263,8206,2324,0.470194575,0.286495121,0.98048048,0.280902874
264,8491,1103,0.485635907,0.25385179,0.982142857,0.249318722
265,10274,847,0.577669771,0.202885415,0.965116279,0.195808016
266,11910,2992,0.615549801,0.283034182,0.979929162,0.277353449
267,12156,3050,0.517516633,0.294707568,0.9810901,0.289134678
268,9761,1956,0.455050279,0.28266573,0.985533454,0.278576533
269,11542,3458,0.578452562,0.271519283,0.985090522,0.267471073
270,8776,1142,0.595492025,0.220502059,0.988095238,0.217877034
271,10180,2143,0.557087706,0.272905941,0.981196581,0.267774376
272,10558,2686,0.457243837,0.281005591,0.986754967,0.277283663
273,9760,822,0.52879326,0.221367497,0.972527473,0.215285972
274,10661,687,0.580800171,0.189017057,0.946153846,0.178839216
275,9247,1185,0.618673166,0.21086795,0.984,0.207494063
276,8690,594,0.466476407,0.22221881,0.96969697,0.215484907
277,8415,691,0.51028675,0.215448524,0.973154362,0.209664671
278,9754,2221,0.625076938,0.283145143,0.979332273,0.277293176
279,8513,1068,0.631723219,0.264846833,0.975265018,0.258295851
280,12443,1567,0.636088974,0.232809265,0.97260274,0.226430929
281,10939,1959,0.529237581,0.273995732,0.973929236,0.266852454
282,8565,1398,0.522647796,0.254500112,0.980337079,0.249495896
283,9667,1941,0.610869193,0.264193922,0.976608187,0.258013947
284,10420,579,0.474175045,0.191692367,0.963963964,0.184784534
285,8124,867,0.512542805,0.238484915,0.971014493,0.231572309
286,10273,3025,0.561903197,0.300727356,0.986813187,0.296761721
287,11007,887,0.610234318,0.201708604,0.972067039,0.196074285
288,8215,2417,0.518385296,0.299860808,0.982068966,0.294483994
289,10213,2896,0.592110112,0.278228031,0.988833747,0.275121266
290,9330,2782,0.538058479,0.290425258,0.986386139,0.286471449
291,9474,2833,0.637080702,0.292896492,0.98313253,0.28795607
292,9714,1958,0.534406725,0.259402839,0.986220472,0.25582839
293,9706,1383,0.591946977,0.246512904,0.991202346,0.244344168
294,9954,1203,0.541167521,0.258446584,0.987138264,0.255122512
295,12283,2970,0.610490652,0.275053026,0.976744186,0.268656444
296,11291,1428,0.64640533,0.212801675,0.967105263,0.20580162
297,10618,1569,0.527151428,0.258640067,0.980295567,0.253543711
298,10244,637,0.501334963,0.167716814,0.953271028,0.15987958
299,12490,3344,0.462759025,0.26129966,0.985125858,0.257413052
300,10584,1043,0.50648526,0.209862944,0.96347032,0.202196718
301,11541,3070,0.634240725,0.292742711,0.984427141,0.28818387
302,11560,2076,0.473484472,0.263912903,0.987226277,0.260541753
303,11274,1053,0.612936305,0.218412412,0.97826087,0.213664316
304,8747,1515,0.498846824,0.241523616,0.978142077,0.236244412
305,12120,1461,0.494362764,0.228475901,0.979041916,0.223687484
306,11979,1225,0.536392823,0.241480916,0.972972973,0.234954405
307,10459,1801,0.542193676,0.268049158,0.98757764,0.264719354
308,10942,2690,0.538369824,0.291820083,0.985987261,0.287730884
309,8937,535,0.46911595,0.194382094,0.990384615,0.192513035
310,10811,981,0.484216733,0.207769099,0.980392157,0.203695195
311,11361,2908,0.566927133,0.289459188,0.985748219,0.285333879
312,10552,2398,0.575530944,0.25934314,0.982315113,0.254756686
313,12280,2392,0.526275143,0.254571435,0.980295567,0.249555249
314,9761,2631,0.620277803,0.29750964,0.982120051,0.292190183
315,11061,2655,0.502405827,0.283907625,0.980106101,0.278259595
316,8042,1276,0.593061002,0.238199449,0.970394737,0.231147491
317,11234,2543,0.534230267,0.258716333,0.990881459,0.256357217
318,9911,2518,0.56427348,0.277597953,0.982832618,0.272832323
319,9845,1144,0.606364378,0.229858947,0.965779468,0.221993051
320,11840,3384,0.525162788,0.283376657,0.989572471,0.280421738
321,8006,1306,0.576678435,0.270103112,0.971671388,0.262451466
322,12273,3288,0.610910207,0.258498271,0.984705882,0.254544768
323,10807,2100,0.589850143,0.245647803,0.986434109,0.242315372
324,9094,476,0.506612921,0.159632761,0.960526316,0.153331467
325,9700,1621,0.504438714,0.246058283,0.977443609,0.240508097
326,8856,1012,0.613336334,0.227076291,0.97826087,0.22213985
327,8146,2176,0.541749626,0.299498972,0.98006135,0.293527367
328,11695,2616,0.517804466,0.280114243,0.984993179,0.275910619
329,10280,1101,0.550457464,0.20517299,0.982300885,0.20154161
330,8445,1777,0.453264772,0.267175792,0.981052632,0.262113514
331,10130,1965,0.592895212,0.243208459,0.987447699,0.240155633
332,11998,2027,0.541888534,0.246602943,0.984,0.242657296
333,10765,850,0.646778665,0.196444419,0.976047904,0.191739164
